year,country_code,country,gold,silver,bronze,medals_total,iso_code,gdp,population,surface_area,log_gdp,log_population,gdp_per_capita,medals_per_million,host_flag
1976,JPN,JPN,25,6,10,41,JPN,598883902155.605,112775000.0,377800.0,27.11833359683672,18.540905241258734,5310.431409049922,0.36355575260474393,0
1976,KOR,KOR,1,1,15,17,KOR,30371074380.1653,35848523.0,99260.0,24.13675649174203,17.394812924719062,847.2057378811757,0.4742175849197469,0
1976,MEX,MEX,1,0,1,2,MEX,88875923765.072,60645512.0,1964380.0,25.21050711899692,17.920556192265124,1465.49877862474,0.03297853269010244,0
1976,NED,NED,0,2,12,14,NLD,109329386564.427,13774037.0,41530.0,25.417631057514786,16.438296001303588,7937.352467139954,1.0164049944108615,0
1976,NOR,NOR,2,4,0,6,NOR,35942270686.3374,4026152.0,385178.0,24.30517989622641,15.20832163906432,8927.20162734477,1.4902567016843875,0
1976,NZL,NZL,15,1,9,25,NZL,13604832424.0062,3110500.0,267710.0,23.33369089186991,14.95029404293721,4373.840997912297,8.037293039704227,0
1976,PAK,PAK,0,0,16,16,PAK,13168080808.0808,71620254.0,796100.0,23.301061617563448,18.086888469023663,183.85973342234723,0.22340049226856973,0
1976,POR,POR,0,2,0,2,PRT,20332831564.9867,9355810.0,92120.0,23.735502735015327,16.051508098656143,2173.2839342597485,0.21377090813088337,0
1976,SUI,Switzerland,1,3,6,10,CHE,68476524643.943,6302504.0,41290.0,24.949756817549655,15.656457572712792,10864.971231107986,1.5866709485626664,0
1976,SWE,SWE,9,1,0,10,SWE,89232517045.8459,8222286.0,447420.11,25.214511350976206,15.922358830558897,10852.519244142797,1.2162067823960392,0
1976,THA,THA,0,0,1,1,THA,16985208648.2112,41896504.0,513120.0,23.55560872274675,17.55071294465715,405.40873406075127,0.023868339945499986,0
1976,TTO,TTO,1,0,0,1,TTO,2500424955.23006,1066311.0,5130.0,21.639726536467272,13.879715585999202,2344.930283219492,0.9378127019227973,0
1976,USA,United States,70,58,36,164,USA,1873412000000.0,218035000.0,9629090.0,28.258782483166925,19.20016615832523,8592.253537276125,0.7521728162909624,0
1976,VEN,VEN,0,1,0,1,VEN,31419534883.7209,13606284.0,912050.0,24.17069566647275,16.426042302813503,2309.192934949829,0.07349545254236939,0
1980,AUS,Australia,6,2,5,13,AUS,150200557103.064,14692000.0,7741220.0,25.73523728534456,16.502813685921694,10223.288667510482,0.8848352845085761,0
1980,AUT,Austria,1,3,1,5,AUT,81737498404.5948,7549433.0,83879.0,25.12677871031516,15.836983019067363,10826.97182749947,0.6623013940252201,0
1980,BEL,BEL,1,0,0,1,BEL,126829314388.191,9859242.0,33120.0,25.566108038256907,16.10391984735594,12864.002566139567,0.10142767567729852,0
1980,BRA,BRA,4,0,5,9,BRA,237393489892.637,121207461.0,8515770.0,26.19298489622128,18.613014189110725,1958.5715923266225,0.07425285478094455,0
1980,BUL,BUL,8,44,38,90,BGR,19839230769.2308,8861535.0,110990.0,23.71092716633934,15.997230558139451,2238.8029578657424,10.156253967286705,0
1980,CUB,CUB,8,7,5,20,CUB,19912889861.1111,9804796.0,109890.0,23.71463309070334,16.098382211684772,2030.9336228016473,2.039818064547187,0
1980,DEN,Denmark,4,2,2,8,DNK,70811287815.6106,5123027.0,42920.0,24.983284257361966,15.449256033256855,13822.157840591235,1.5615767787286696,0
1980,ESP,ESP,2,19,3,24,ESP,232600556973.776,37491165.0,505990.0,26.172588471584326,17.4396158631826,6204.143215442252,0.6401508195330821,0
1980,ETH,ETH,2,0,2,4,ETH,7012585454.10628,34428514.0,1221900.0,22.670972293689786,17.35439567434843,203.68539444096484,0.1161827664127473,0
